Heroes_Team,Villains_Team,Heroes_Scores,Villains_Scores,Heroes_Hill_Score,Villains_Hill_Score,Winning_Team
"['umgone', 'KingLuffy91', 'numbfeeling', 'Bibornoshomoy', 'ujbuk_alamm']","['DuttoBoy', 'SCUBESEVEN', 'Old_Man_Sakil', 'invisible_fear', 'Bengal_Bandit']","[2740, 2490, 2450, 2320, 2060]","[2100, 1920, 1785, 1780, 1150]",201,96,Heroes
"['DuttoBoy', 'SCUBESEVEN', 'Bibornoshomoy', 'ujbuk_alamm', 'umgone']","['invisible_fear', 'KingLuffy91', 'Old_Man_Sakil', 'Bengal_Bandit', 'numbfeeling']","[3545, 2840, 2410, 2090, 1580]","[3440, 2980, 2490, 2440, 2425]",188,201,Villains
"['invisible_fear', 'numbfeeling', 'Bibornoshomoy', 'KingLuffy91']","['SCUBESEVEN', 'Old_Man_Sakil', 'DuttoBoy', 'ujbuk_alamm']","[2950, 2795, 2770, 2180]","[3110, 3065, 2985, 2770]",201,200,Heroes
"['Bibornoshomoy', 'umgone', 'numbfeeling', 'KingLuffy91', 'ujbuk_alamm']","['Old_Man_Sakil', 'DuttoBoy', 'SCUBESEVEN', 'invisible_fear', 'Bengal_Bandit']","[3010, 2880, 2875, 2480, 2390]","[3040, 2945, 2670, 2650, 1320]",201,183,Heroes
"['SCUBESEVEN', 'DuttoBoy', 'KingLuffy91', 'numbfeeling', 'Bengal_Bandit']","['Old_Man_Sakil', 'invisible_fear', 'ujbuk_alamm', 'Bibornoshomoy', 'umgone']","[4350, 3685, 3680, 3415, 2540]","[4680, 3425, 3260, 3070, 3005]",201,200,Heroes
"['KingLuffy91', 'numbfeeling', 'Bibornoshomoy', 'ujbuk_alamm']","['Old_Man_Sakil', 'invisible_fear', 'DuttoBoy', 'SCUBESEVEN']","[2370, 2090, 1795, 1530]","[3310, 3240, 2765, 2650]",139,201,Villains
"['DuttoBoy', 'Old_Man_Sakil', 'Bengal_Bandit', 'invisible_fear', 'umgone']","['SCUBESEVEN', 'numbfeeling', 'KingLuffy91', 'Bibornoshomoy', 'ujbuk_alamm']","[4085, 3265, 2240, 1930, 1420]","[3000, 2725, 2640, 2440, 2160]",200,201,Villains
"['DuttoBoy', 'ujbuk_alamm', 'umgone', 'Bibornoshomoy', 'SCUBESEVEN']","['Old_Man_Sakil', 'invisible_fear', 'numbfeeling', 'KingLuffy91', 'Bengal_Bandit']","[2935, 2410, 2400, 2345, 2000]","[3345, 2920, 2900, 2680, 2000]",142,201,Villains
"['numbfeeling', 'Bibornoshomoy', 'umgone', 'ujbuk_alamm', 'KingLuffy91']","['invisible_fear', 'DuttoBoy', 'Old_Man_Sakil', 'SCUBESEVEN', 'Bengal_Bandit']","[2350, 2235, 1950, 1950, 1920]","[3520, 2880, 2850, 2820, 1890]",177,201,Villains
"['numbfeeling', 'Bibornoshomoy', 'ujbuk_alamm', 'invisible_fear', 'umgone']","['DuttoBoy', 'Old_Man_Sakil', 'SCUBESEVEN', 'KingLuffy91']","[2355, 2045, 1910, 1630, 1600]","[3680, 3655, 3250, 2490]",176,201,Villains
